,Date,PMI,NMI,Consumer_sen,building_permits,Unemployment,Non_Farm,Initial_Claims,Continuing_Claims,SnP500,VIX,Net_Export,int_spread,Real_GDP
152,1986-06-30,51.199999999999996,,96.76666666666667,1815.0,8437.0,99174.66666666667,381153.8461538461,2640769.230769231,240.53343750000002,,-128.872,0.6833333333333332,8185.303
153,1986-09-30,51.0,,94.83333333333333,1730.6666666666667,8254.666666666666,99665.0,389769.23076923075,2656769.230769231,241.13484375,,-138.961,1.0999999999999999,8263.639
154,1986-12-31,50.96666666666667,,92.03333333333335,1740.6666666666667,8095.0,100312.66666666667,367846.1538461539,2639538.4615384615,243.51984375000006,,-133.629,0.9966666666666667,8308.021
155,1987-03-31,54.166666666666664,,90.46666666666668,1694.3333333333333,7873.0,100920.33333333333,342769.23076923075,2474384.6153846155,279.4653225806451,,-141.234,0.9733333333333333,8369.93
156,1987-06-30,56.699999999999996,,91.8,1541.0,7504.666666666667,101709.0,329923.07692307694,2336923.076923077,293.46857142857135,,-146.977,1.6933333333333334,8460.233
157,1987-09-30,58.93333333333334,,93.90000000000002,1513.6666666666667,7210.333333333333,102438.0,318769.23076923075,2202384.6153846155,319.22375,,-145.464,2.033333333333333,8533.635
158,1987-12-31,60.166666666666664,,86.39999999999999,1416.3333333333333,7066.0,103390.33333333333,307846.1538461539,2078846.1538461538,255.70015624999996,,-145.405,2.206666666666667,8680.162
159,1988-03-31,56.1,,92.33333333333333,1402.3333333333333,6919.333333333333,104152.0,321153.8461538461,2150307.6923076925,258.47698412698406,,-123.987,1.7533333333333332,8725.006
160,1988-06-30,56.86666666666667,,93.56666666666666,1452.6666666666667,6642.0,105006.66666666667,311461.53846153844,2065307.6923076923,263.2687301587302,,-106.627,1.7533333333333332,8839.641
161,1988-09-30,56.23333333333333,,96.03333333333335,1445.0,6684.0,105745.66666666667,314230.76923076925,2075461.5384615385,266.78234375,,-99.263,1.1166666666666667,8891.435
162,1988-12-31,55.666666666666664,,93.0,1508.3333333333333,6541.0,106597.0,291785.71428571426,2015500.0,274.978253968254,,-107.694,0.48666666666666664,9009.913
163,1989-03-31,53.43333333333334,,95.86666666666667,1354.3333333333333,6415.333333333333,107403.0,305166.6666666667,2102083.3333333335,290.6385483870967,,-100.965,-0.23666666666666666,9101.508
164,1989-06-30,49.6,,90.93333333333332,1359.6666666666667,6473.333333333333,107910.33333333333,322230.76923076925,2104538.4615384615,313.6482812499999,,-88.16,-0.9533333333333333,9170.977
165,1989-09-30,45.666666666666664,,92.46666666666665,1310.3333333333333,6532.0,108186.0,337571.4285714286,2197857.1428571427,342.1761904761906,,-75.075,-0.9766666666666667,9238.923
166,1989-12-31,47.0,,91.76666666666667,1377.0,6674.0,108688.0,352000.0,2283769.230769231,345.37746031746025,,-82.765,-0.7066666666666667,9257.128
167,1990-03-31,48.73333333333334,,91.26666666666667,1441.0,6667.0,109426.0,354076.92307692306,2358000.0,336.5747619047619,,-88.536,0.17333333333333334,9358.289
168,1990-06-30,49.56666666666666,,90.93333333333334,1103.6666666666667,6709.666666666667,109793.66666666667,360000.0,2400000.0,349.7965079365081,18.72206349206349,-68.833,0.4333333333333333,9392.251
169,1990-09-30,45.73333333333333,,79.13333333333334,1041.0,7159.333333333333,109652.66666666667,382692.3076923077,2530846.153846154,335.8817460317461,25.195555555555547,-74.953,0.5433333333333333,9398.499
170,1990-12-31,41.766666666666666,,65.13333333333334,909.0,7708.0,109249.0,443307.6923076923,2867461.5384615385,316.56203125000013,26.113281249999993,-79.096,0.6533333333333333,9312.937
171,1991-03-31,39.766666666666666,,74.96666666666665,850.0,8288.666666666666,108787.66666666667,476000.0,3269076.923076923,352.28295081967207,22.494754098360644,-47.14,1.59,9269.367
172,1991-06-30,45.86666666666667,,80.73333333333333,957.0,8622.333333333334,108315.66666666667,446153.8461538461,3462615.3846153845,378.66593750000015,17.147031249999994,-23.188,2.2666666666666666,9341.642
173,1991-09-30,52.800000000000004,,82.63333333333334,963.6666666666666,8658.0,108312.66666666667,425307.6923076923,3298000.0,385.5598437500001,16.63421875,-21.074,2.296666666666667,9388.845
174,1991-12-31,49.79999999999999,,71.86666666666666,1012.0,8990.333333333334,108327.0,441923.07692307694,3322615.3846153845,387.11609374999995,17.455312500000005,-23.053,2.53,9421.565
175,1992-03-31,51.53333333333333,,70.76666666666667,1101.6666666666667,9399.0,108348.33333333333,437307.6923076923,3325692.3076923075,411.97190476190474,17.564285714285717,-20.536,3.28,9534.346
176,1992-06-30,53.96666666666667,,78.93333333333334,1055.6666666666667,9733.0,108627.66666666667,418076.92307692306,3327538.4615384615,410.0615873015873,15.61634920634921,-32.788,3.606666666666667,9637.732
177,1992-09-30,52.333333333333336,,76.1,1092.6666666666667,9806.0,108892.33333333333,421153.8461538461,3226076.923076923,417.1190624999999,13.902031250000002,-38.488,3.36,9732.979
